State,Startups,Accelerators,Incubators
Andaman & Nicobar Island,55,0,7
Andhra Pradesh,4053,3,7
Arunachal Pradesh,34,0,1
Assam,1167,2,14
Bihar,2413,1,17
Chandigarh,436,0,7
Chhattisgarh,1311,0,11
Dadra and Nagar Haveli & Daman and Diu,50,0,0
Delhi,13101,0,88
Goa,461,1,13
Gujarat,10046,5,83
Haryana,6599,22,33
Himachal Pradesh,436,0,5
Jammu and Kashmir,743,0,7
Jharkhand,1161,0,10
Karnataka,13321,44,119
Kerala,5202,3,52
Ladakh,10,0,0
Lakshadweep,3,0,0
Madhya Pradesh,3997,0,43
Maharashtra,22269,38,116
Manipur,129,0,0
Meghalaya,43,0,1
Mizoram,27,0,6
Nagaland,56,0,3
Odisha,2203,0,40
Puducherry,134,0,2
Punjab,1375,2,30
Rajasthan,4424,1,49
Sikkim,10,0,3
Tamil Nadu,8173,8,138
Telangana,6457,8,79
Tripura,95,0,2
Uttar Pradesh,11765,10,103
Uttarakhand,1027,0,15
West Bengal,4083,4,23
